unique_id,status,thread_id,execution_time,adapter_response,relation_name,start_time,end_time,model_id,thread,execution_time_sec
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 20:42:32.012664+00:00,2024-11-12 20:42:32.917289+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9066143035888672
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 20:42:32.923270+00:00,2024-11-12 20:42:33.264209+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3429348468780517
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 20:42:33.273322+00:00,2024-11-12 20:42:33.636577+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3662934303283691
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 20:42:33.643483+00:00,2024-11-12 20:42:33.984869+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3443684577941894
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 22:38:27.608835+00:00,2024-11-12 22:38:28.505550+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.8977165222167969
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 22:38:28.509539+00:00,2024-11-12 22:38:28.853209+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3456079959869385
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 22:38:28.860174+00:00,2024-11-12 22:38:29.212442+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3551902770996094
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 22:38:29.219410+00:00,2024-11-12 22:38:29.550392+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3329682350158691
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-12 22:47:44.442505+00:00,2024-11-12 22:47:45.541464+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.100950002670288
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-12 22:47:45.546992+00:00,2024-11-12 22:47:46.043984+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4989850521087646
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-12 22:47:46.050968+00:00,2024-11-12 22:47:46.486312+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.4373459815979004
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-12 22:47:46.490726+00:00,2024-11-12 22:47:46.913984+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.4252510070800781
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 13:34:40.741990+00:00,2024-11-13 13:34:42.046039+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.3071627616882324
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 13:34:42.053015+00:00,2024-11-13 13:34:42.492927+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4418983459472656
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 13:34:42.497905+00:00,2024-11-13 13:34:42.890965+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3950951099395752
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 13:34:42.895947+00:00,2024-11-13 13:34:43.294553+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.400601863861084
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 14:58:34.294117+00:00,2024-11-13 14:58:35.377229+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.085055589675903
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 14:58:35.384127+00:00,2024-11-13 14:58:35.806062+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4253966808319092
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 14:58:35.813744+00:00,2024-11-13 14:58:36.192391+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3806393146514892
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 14:58:36.199285+00:00,2024-11-13 14:58:36.570776+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3734791278839111
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 15:07:53.277748+00:00,2024-11-13 15:07:54.398404+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.123652696609497
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 15:07:54.405338+00:00,2024-11-13 15:07:54.808555+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4062066078186035
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 15:07:54.817875+00:00,2024-11-13 15:07:55.206536+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3906610012054443
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 15:07:55.212514+00:00,2024-11-13 15:07:56.001845+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.7913274765014648
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 17:39:26.480144+00:00,2024-11-13 17:39:27.381323+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),0.9032564163208008
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 17:39:27.390328+00:00,2024-11-13 17:39:27.744169+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.3568086624145508
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 17:39:27.752144+00:00,2024-11-13 17:39:28.086320+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.3392527103424072
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 17:39:28.099301+00:00,2024-11-13 17:39:28.454228+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.3598103523254394
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_first_dbt_model,2024-11-13 19:35:29.918012+00:00,2024-11-13 19:35:30.999550+00:00,model.my_dbt_project.my_first_dbt_model,Thread-1 (worker),1.0845167636871338
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_cubo_33,2024-11-13 19:35:31.009502+00:00,2024-11-13 19:35:31.422005+00:00,model.my_dbt_project.slv_cubo_33,Thread-1 (worker),0.4164867401123047
,success,,,OK,DB_DLK_INTMERCDB.dbo.slv_escolas_bilingue,2024-11-13 19:35:31.427984+00:00,2024-11-13 19:35:31.878353+00:00,model.my_dbt_project.slv_escolas_bilingue,Thread-1 (worker),0.45798349380493164
,success,,,OK,DB_DLK_INTMERCDB.dbo.my_second_dbt_model,2024-11-13 19:35:31.896863+00:00,2024-11-13 19:35:32.550672+00:00,model.my_dbt_project.my_second_dbt_model,Thread-1 (worker),0.6592602729797363
